id,text,label,sa,counter1,conter2,counter3,counter4,counter5
0,"I am literally dying from heat exhaustion because IUP doesn't believe in AC
",0,1,I'm legit 'bout to pass out from this heat cause IUP don't believe in no AC.,I'm straight up dyin' from this heat stroke 'cause IUP ain't got no faith in AC.,I'm straight up passin' out from this heat cause IUP don't believe in no AC.,I'm straight up 'bout to pass out from this heat cause IUP don't believe in no AC.,I'm straight up dyin' from heat exhaustion cause IUP don't believe in no AC.
1,"I'm really dreading talon falls
",0,1,I'm really ain't lookin' forward to Talon Falls.,I'm really ain't lookin' forward to Talon Falls.,I'm for real not looking forward to Talon Falls.,I'm really ain't lookin' forward to Talon Falls.,I'm really not lookin' forward to Talon Falls.
2,"I just got a snapchat of Ethan riding a unicycle so there's that
",1,1,"Just got a snapchat of Ethan ridin' a unicycle, so that's what's up.","Just caught a snapchat of Ethan on that unicycle, so that's what's up.","Just got a snap of Ethan on a unicycle, so it's like that now.","Just caught a snap of Ethan on a unicycle, so there's that.","Just got a Snapchat of Ethan on a unicycle, so that's what's up."
3,"_TWITTER-ENTITY_ I texted my dad to tell him about it and he replied with \I already emailed them baby "" I was not expecting that ""
",1,1,"I hit my pops up to put him hip and he shot back ""I already slid in their email, shorty."" Wasn't seein' that comin'.","_TWITTER-ENTITY_ I hit up my pops to tell him 'bout it and he hit me back with ""I already shot them an email, baby."" Wasn't expectin' that one time.","_TWITTER-ENTITY_ I hit up my pops to put him on and he hit back like ""Already hit their line, baby."" Wasn't expectin' that.","I hit up my pops to put him on game and he hit back with ""I already hit they line shorty."" I wasn't even ready for that.","_TWITTER-ENTITY_ I hit up my pops to let him know and he hit me back with ""Already shot them an email baby"". Wasn't expectin' that one."
4,"_TWITTER-ENTITY_ Look at the real guy he's even more delicious
",1,1,"Look at da real dude, he even more fine","_TWITTER-ENTITY_  Peep da real dude, he even more scrumptious","_TWITTER-ENTITY_ Peep tha real dude, he even more fine","_TWITTER-ENTITY_ Check out the real dude, he even more fine","_TWITTER-ENTITY_ Peep the real dude, he even more fly"
5,"I wanted to go to bed at 9 yet here we are past 11 and im still not asleep . I blame _TWITTER-ENTITY_ We could literally talk nonstop for days :P
",1,1,"I was tryna hit the sack at 9 but look at us, it's past 11 and I ain't even got no sleep. I put this on _TWITTER-ENTITY_. We could legit chop it up for days :P.","Wanted to hit the sack by 9 but look at us, it's past 11 and I ain't even sleepin' yet. It's all on _TWITTER-ENTITY_ fr. We could run our mouths nonstop for days :P","I planned to hit the sack at 9 but look at us, it's past 11 and I ain't even dozing off yet. I put it on _TWITTER-ENTITY_ We could legit blabber nonstop for days :P","I planned to hit the sack at 9 but lookie here, it's past 11 and I ain't even closed my eyes. It's all on _TWITTER-ENTITY_ We could legit talk nonstop for days :P","I planned to hit the sack at 9, but look at us now past 11 still up. This all on _TWITTER-ENTITY_. We could legit talk for days without a break :P"
6,"Probably won't get a text back to that
",1,1,Might not get a text back for that one.,Probably ain't gon' get a text back to that.,Probably ain't gon' get a text back to that.,Probably ain't gon' get no text back to that.,Might not get a text back from that.
7,"_TWITTER-ENTITY_ yes it will be !!
",1,1,_TWITTER-ENTITY_ yeah it gon' be!,_TWITTER-ENTITY_ yeah it gon' be!!,"_TWITTER-ENTITY_ yup, it sure gonna be!!","_TWITTER-ENTITY_ yeah, it sure gonna be!","_TWITTER-ENTITY_ yeah, it gon' be!!"
8,"I have absolutely no plans this weekend ... Greeeeaattt
",0,1,I ain't got no plans this weekend ... Greeeeaattt,Ain't got no plans this weekend... Greeeeaattt,Ain't got no plans this weekend... Wooooonderful,I ain't got no plans this weekend... Greeeeaattt,Ain't got no plans this weekend... Awesome.
9,"_TWITTER-ENTITY_ it's okay I still rocked it in class today
",0,1,"_TWITTER-ENTITY_ it's aight, I still killed it in class today",_TWITTER-ENTITY_ it's aight I still killed it in class today,"_TWITTER-ENTITY_ it's aight, I still killed it in class today","_TWITTER-ENTITY_ it's aight, I still crushed it in class today",_TWITTER-ENTITY_ it's aight I still killed it in class today
10,"On the brightside i got a hug from tim
",1,1,"On the up and up, Tim gave me a hug.","On the brightside, I got dapped up by Tim.","On the bright side, I got a hug from Tim.","On the up side, I got a hug from Tim.","On the flipside, Tim done gave me a hug."
11,"_TWITTER-ENTITY_ you are awake your tweeting . Lol just missin with ya
",1,1,_TWITTER-ENTITY_ you up tweetin'. Lol just messin' with ya,_TWITTER-ENTITY_ you up tweetin'. Lol just messin' with ya.,"_TWITTER-ENTITY_ you up, you tweetin'. Lol just messin' with ya.","_TWITTER-ENTITY_ you up tweetin'. Lol just messin' wit ya
",_TWITTER-ENTITY_ you up and tweetin'. Lol just playin' with ya.
